CreatedOn,Location,InquiryDate,InquirySource,ProspectStatus,ProspectDate,ApplicationStatus,ApplicationStartedDate,ApplicationCompletedDate,ApplicationSubmittedDate,ApplicationMovedtoERPDate,AdmitDate,EnrolledDate,AcademicLevelofInterest,academicProgramofInterest,AnticipatedEntryTerm,MarketingCampaign,MarketingMedium,MarketingSource
12/5/2016,St. Louis Home Campus,12/5/2016,"Web, Create Account",Application Submitted,12/5/2016,Submitted,12/25/2016,,12/25/2016,,,,Graduate,art History and Criticism,"Fall I, 2017",(not%20set),(not%20set),
2/12/2017,St. Louis Home Campus,2/12/2017,Online Application,Application Submitted,2/12/2017,Submitted,2/12/2017,,2/12/2017,,,,Graduate,art History and Criticism,"Fall I, 2017",(referral),referral,webster.edu
7/15/2016,St. Louis Home Campus,7/15/2016,"Web, Create Account",Inquiry,7/15/2016,,,,,,,,Graduate,art History and Criticism,"Fall I, 2017",(direct),(none),(direct)
7/15/2016,St. Louis Home Campus,7/15/2016,"Web, Inquiry",Inquiry,7/15/2016,,,,,,,,Graduate,art History and Criticism,"Fall I, 2017",(referral),referral,webster.edu
10/26/2016,Greenville Metro,,,Prospect,10/26/2016,,,,,,,,Graduate,art History and Criticism,"Fall I, 2017",,,
6/15/2016,St. Louis Home Campus,6/8/2016,Online Application,Enrolled,6/8/2016,Exported to ERP,6/15/2016,7/25/2016,6/23/2016,,7/25/2016,8/10/2016,Graduate,art: Studio art,"Fall I, 2016",(organic),organic,google
6/21/2016,St. Louis Home Campus,6/15/2016,Online Application,Enrolled,6/15/2016,Exported to ERP,6/21/2016,10/6/2016,6/21/2016,10/6/2016,,11/11/2016,Graduate,art: Studio art,"Spring I, 2017",(direct),(none),(direct)
7/27/2016,St. Louis Home Campus,7/27/2016,Online Application,Application Started,7/27/2016,Started,7/27/2016,,,,,,Graduate,art: Studio art,"Fall I, 2016",,,
9/4/2016,St. Louis Home Campus,9/4/2016,Online Application,Application Started,9/4/2016,Started,9/4/2016,,,,,,Graduate,art: Studio art,"Spring I, 2017",Graduate_ALL,Microsite,Microsite_Link
9/6/2016,St. Louis Home Campus,9/6/2016,Online Application,Application Started,9/6/2016,Started,9/6/2016,,,,,,Graduate,art: Studio art,"Fall I, 2017",(referral),referral,webster.edu
9/29/2016,St. Louis Home Campus,9/29/2016,Online Application,Application Started,9/29/2016,Started,9/29/2016,,,,,,Graduate,art: Studio art,"Fall I, 2017",(not%20set),(not%20set),
10/22/2016,St. Louis Home Campus,10/22/2016,Online Application,Application Started,10/22/2016,Started,10/22/2016,,,,,,Graduate,art: Studio art,"Fall I, 2017",(organic),organic,google
11/18/2016,St. Louis Home Campus,11/18/2016,Online Application,Application Started,11/18/2016,Started,11/18/2016,,,,,,Graduate,art: Studio art,"Fall I, 2018",(not%20set),(not%20set),
12/1/2016,St. Louis Home Campus,12/1/2016,Online Application,Application Started,12/1/2016,Started,12/1/2016,,,,,,Graduate,art: Studio art,"Fall I, 2017",(direct),(none),(direct)
12/3/2016,St. Louis Home Campus,12/3/2016,Online Application,Application Started,12/3/2016,Started,12/3/2016,,,,,,Graduate,art: Studio art,"Spring I, 2018",(direct),(none),(direct)
6/8/2016,St. Louis Home Campus,6/8/2016,"Web, Inquiry",Inquiry,6/8/2016,,,,,,,,Graduate,art: Studio art,"Fall I, 2016",(organic),organic,google
6/8/2016,St. Louis Home Campus,6/8/2016,"Web, Inquiry",Inquiry,6/8/2016,,,,,,,,Graduate,art: Studio art,"Fall I, 2016",(organic),organic,google
9/26/2016,St. Louis Home Campus,9/26/2016,"Web, Inquiry",Inquiry,9/26/2016,,,,,,,,Graduate,art: Studio art,"Fall I, 2017",(referral),referral,webster.edu
12/7/2016,St. Louis Home Campus,12/7/2016,"Web, Inquiry",Inquiry,12/7/2016,,,,,,,,Graduate,art: Studio art,"Fall II, 2017",(direct),(none),(direct)
11/4/2016,St. Louis Home Campus,,,Prospect,11/4/2016,,,,,,,,Graduate,art: Studio art,"Spring I, 2017",(not set),(not set),
6/27/2016,St. Louis Home Campus,,,Prospect,6/27/2016,,,,,,,,Graduate,art: Studio art,"Summer, 2017",(organic),organic,google
8/8/2016,St. Louis Home Campus,,,Prospect,8/8/2016,,,,,,,,Graduate,art: Studio art,"Fall II, 2016",(organic),organic,google
11/15/2016,St. Louis Home Campus,,,Prospect,11/15/2016,,,,,,,,Graduate,art: Studio art,"Fall I, 2017",(not set),(not set),
8/14/2016,St. Louis Home Campus,8/14/2016,Online Application,Application Started,8/14/2016,Started,8/14/2016,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(organic),organic,google
8/24/2016,St. Louis Home Campus,8/24/2016,Online Application,Application Started,8/24/2016,Started,8/24/2016,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2017",(organic),organic,google
9/3/2016,St. Louis Home Campus,9/3/2016,Online Application,Application Started,9/3/2016,Started,9/3/2016,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2016",,,
10/6/2016,St. Louis Home Campus,10/6/2016,Online Application,Application Moved to ERP,10/6/2016,Exported to ERP,10/6/2016,10/7/2016,10/6/2016,10/10/2016,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2017",(not%20set),(not%20set),
10/7/2016,St. Louis Home Campus,10/7/2016,Online Application,Application Started,10/7/2016,Started,10/7/2016,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,webster.edu
1/8/2017,St. Louis Home Campus,1/8/2017,Online Application,Application Submitted,1/8/2017,Submitted,1/8/2017,,1/8/2017,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,artsadministration.org
1/9/2017,St. Louis Home Campus,3/30/2016,"Web, Create Account",Application Submitted,3/30/2016,Submitted,1/9/2017,,1/9/2017,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,artsadministration.org
6/16/2016,St. Louis Home Campus,6/16/2016,"Web, Inquiry",Inquiry,6/16/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2016",(organic),organic,google
7/1/2016,St. Louis Home Campus,7/1/2016,"Web, Inquiry",Inquiry,7/1/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(direct),(none),(direct)
7/30/2016,St. Louis Home Campus,7/30/2016,"Web, Inquiry",Inquiry,7/30/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,artsadministration.org
8/14/2016,St. Louis Home Campus,8/14/2016,"Web, Inquiry",Inquiry,8/14/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(organic),organic,google
8/24/2016,St. Louis Home Campus,8/24/2016,"Web, Inquiry",Inquiry,8/24/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2017",(organic),organic,google
9/12/2016,St. Louis Home Campus,9/12/2016,"Web, Inquiry",Inquiry,9/12/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(direct),(none),(direct)
9/22/2016,St. Louis Home Campus,9/22/2016,"Web, Inquiry",Inquiry,9/22/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall II, 2016",,,
9/22/2016,St. Louis Home Campus,9/22/2016,"Web, Inquiry",Inquiry,9/22/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2017",(organic),organic,google
10/11/2016,St. Louis Home Campus,10/11/2016,"Web, Inquiry",Inquiry,10/11/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,webster.edu
10/17/2016,St. Louis Home Campus,10/17/2016,"Web, Inquiry",Inquiry,10/17/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2017",(organic),organic,google
10/19/2016,St. Louis Home Campus,10/19/2016,"Web, Inquiry",Inquiry,10/19/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(organic),organic,google
10/24/2016,St. Louis Home Campus,10/24/2016,"Web, Inquiry",Inquiry,10/24/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,artsadministration.org
10/24/2016,St. Louis Home Campus,10/24/2016,"Web, Inquiry",Inquiry,10/24/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(referral),referral,artsadministration.org
11/1/2016,St. Louis Home Campus,11/1/2016,"Web, Inquiry",Inquiry,11/1/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Summer, 2017",(direct),(none),(direct)
11/17/2016,St. Louis Home Campus,11/17/2016,"Web, Inquiry",Inquiry,11/17/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2018",(referral),referral,artsadministration.org
1/5/2017,St. Louis Home Campus,1/5/2017,"Web, Inquiry",Inquiry,1/5/2017,,,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2017",(organic),organic,google
1/26/2017,St. Louis Home Campus,1/26/2017,"Web, Inquiry",Inquiry,1/26/2017,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(organic),organic,google
12/23/2016,St. Louis Home Campus,2/20/2017,Online Event Registration,Inquiry,2/20/2017,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2017",(organic),organic,google
10/14/2016,St. Louis Home Campus,,,Prospect,10/14/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Fall I, 2018",,,
11/21/2016,St. Louis Home Campus,,,Prospect,11/21/2016,,,,,,,,Graduate,arts Management and Leadership (MFa),"Spring I, 2018",(not set),(not set),
11/20/2016,St. Louis Home Campus,11/20/2016,Online Application,Application Started,11/20/2016,Started,11/20/2016,,,,,,Graduate,Music,"Fall I, 2017",(referral),referral,webster.edu
11/29/2016,St. Louis Home Campus,11/29/2016,Online Application,Application Submitted,11/29/2016,Submitted,11/29/2016,,11/29/2016,,,,Graduate,Music,"Fall I, 2017",Graduate_ALL,Microsite,Microsite_Link
2/5/2017,St. Louis Home Campus,2/5/2017,Online Application,Application Started,2/5/2017,Started,2/5/2017,,,,,,Graduate,Music,"Fall I, 2017",(not%20set),(not%20set),
11/20/2016,St. Louis Home Campus,11/20/2016,"Web, Inquiry",Inquiry,11/20/2016,,,,,,,,Graduate,Music,"Fall I, 2017",(referral),referral,webster.edu
1/18/2017,St. Louis Home Campus,1/18/2017,"Web, Inquiry",Inquiry,1/18/2017,,,,,,,,Graduate,Music,"Fall I, 2020",(organic),organic,bing
1/23/2017,St. Louis Home Campus,1/23/2017,"Web, Create Account",Inquiry,1/23/2017,,,,,,,,Graduate,Music,"Fall I, 2017",(organic),organic,google
2/1/2017,St. Louis Home Campus,2/1/2017,"Web, Inquiry",Inquiry,2/1/2017,,,,,,,,Graduate,Music,"Fall I, 2019",(organic),organic,yahoo
9/12/2016,St. Louis Home Campus,,,Prospect,9/12/2016,,,,,,,,Graduate,Music,"Fall I, 2017",,,
9/1/2016,St. Louis Home Campus,,,Prospect,9/1/2016,,,,,,,,Graduate,Music,"Fall I, 2017",,,
12/20/2016,St. Louis Home Campus,,,Prospect,12/20/2016,,,,,,,,Graduate,Music,"Fall I, 2018",,,
11/15/2016,St. Louis Home Campus,,,Prospect,11/15/2016,,,,,,,,Graduate,Music,"Spring I, 2017",(organic),organic,google
2/2/2017,St. Louis Home Campus,,,Prospect,2/2/2017,,,,,,,,Graduate,Music,"Summer, 2017",,,
12/5/2016,St. Louis Home Campus,,,Prospect,12/5/2016,,,,,,,,Graduate,Music,"Fall I, 2017",,,
8/14/2016,St. Louis Home Campus,8/14/2016,Online Application,Enrolled,8/14/2016,Exported to ERP,8/14/2016,10/20/2016,8/14/2016,,10/20/2016,11/10/2016,Graduate,Music/Emphasis in Church Music,"Spring I, 2017",,,
10/18/2016,St. Louis Home Campus,10/18/2016,Online Application,Application Started,10/18/2016,Started,10/18/2016,,,,,,Graduate,Music/Emphasis in Composition/arranging,"Summer, 2017",(organic),organic,google
2/7/2017,St. Louis Home Campus,1/26/2017,Online Application,Application Submitted,1/26/2017,Submitted,2/7/2017,,2/9/2017,,,,Graduate,Music/Emphasis in Composition/arranging,"Fall I, 2017",(organic),organic,google
1/26/2017,St. Louis Home Campus,1/26/2017,"Web, Inquiry",Inquiry,1/26/2017,,,,,,,,Graduate,Music/Emphasis in Composition/arranging,"Fall I, 2017",(organic),organic,google
1/23/2017,St. Louis Home Campus,,,Prospect,1/23/2017,,,,,,,,Graduate,Music/Emphasis in Composition/arranging,"Summer, 2017",(organic),organic,google
10/27/2016,St. Louis Home Campus,10/27/2016,"Web, Inquiry",Inquiry,10/27/2016,,,,,,,,Graduate,Music/Emphasis in Guitar,"Fall I, 2018",(organic),organic,google
9/8/2016,St. Louis Home Campus,9/8/2016,Online Application,Application Submitted,9/8/2016,Submitted,9/8/2016,,9/8/2016,,,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(organic),organic,google
11/10/2016,St. Louis Home Campus,11/10/2016,Online Application,Application Submitted,11/10/2016,Submitted,11/10/2016,,11/17/2016,,,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(organic),organic,google
11/2/2016,St. Louis Home Campus,1/28/2017,Online Application,Application Submitted,1/28/2017,Submitted,1/28/2017,,1/28/2017,,,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(organic),organic,google
11/2/2016,St. Louis Home Campus,1/28/2017,Online Application,Application Submitted,1/28/2017,Exported to ERP,1/28/2017,,1/28/2017,,,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(organic),organic,google
1/28/2017,St. Louis Home Campus,1/28/2017,Online Application,Application Submitted,1/28/2017,,1/28/2017,,1/28/2017,,,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(organic),organic,google
2/8/2017,St. Louis Home Campus,2/8/2017,Online Application,Admit,2/8/2017,Exported to ERP,2/8/2017,2/9/2017,2/8/2017,,2/9/2017,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(direct),(none),(direct)
2/6/2017,St. Louis Home Campus,2/6/2017,"Web, Inquiry",Inquiry,2/6/2017,,,,,,,,Graduate,Music/Emphasis in Jazz Studies,"Fall I, 2017",(direct),(none),(direct)
9/28/2016,St. Louis Home Campus,9/28/2016,"Web, Inquiry",Inquiry,9/28/2016,,,,,,,,Graduate,Music/Emphasis in Orchestral Performance,"Fall I, 2017",(organic),organic,google
9/15/2016,St. Louis Home Campus,9/15/2016,Online Application,Application Started,9/15/2016,Started,9/15/2016,,,,,,Graduate,Music/Emphasis in Piano,"Fall I, 2017",(direct),(none),(direct)
6/6/2016,St. Louis Home Campus,6/6/2016,"Web, Inquiry",Inquiry,6/6/2016,,,,,,,,Graduate,Music/Emphasis in Piano,"Fall I, 2018",(organic),organic,google
11/1/2016,St. Louis Home Campus,9/30/2016,Online Application,Application Submitted,9/30/2016,Withdrawn,11/1/2016,,11/29/2016,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(referral),referral,webster.edu
11/1/2016,St. Louis Home Campus,9/30/2016,Online Application,Application Submitted,9/30/2016,Started,11/1/2016,,11/29/2016,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(referral),referral,webster.edu
11/1/2016,St. Louis Home Campus,9/30/2016,Online Application,Application Submitted,9/30/2016,Submitted,11/1/2016,,11/29/2016,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(referral),referral,webster.edu
12/2/2016,St. Louis Home Campus,12/2/2016,Online Application,Application Submitted,12/2/2016,Submitted,12/2/2016,,12/2/2016,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(organic),organic,google
1/13/2017,St. Louis Home Campus,1/13/2017,Online Application,Application Submitted,1/13/2017,Submitted,1/13/2017,,1/13/2017,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(referral),referral,webster.edu
7/17/2016,St. Louis Home Campus,7/17/2016,"Web, Inquiry",Inquiry,7/17/2016,,,,,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2018",(organic),organic,google
8/23/2016,St. Louis Home Campus,8/23/2016,"Web, Inquiry",Inquiry,8/23/2016,,,,,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(referral),referral,webster.edu
9/30/2016,St. Louis Home Campus,9/30/2016,"Web, Inquiry",Inquiry,9/30/2016,,,,,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(referral),referral,webster.edu
11/30/2016,St. Louis Home Campus,11/30/2016,"Web, Create Account",Inquiry,11/30/2016,,,,,,,,Graduate,Music/Emphasis in Voice,"Spring I, 2017",(referral),referral,webster.edu
1/10/2017,St. Louis Home Campus,1/10/2017,"Web, Inquiry",Inquiry,1/10/2017,,,,,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2017",(organic),organic,google
2/8/2017,St. Louis Home Campus,2/8/2017,"Web, Inquiry",Inquiry,2/8/2017,,,,,,,,Graduate,Music/Emphasis in Voice,"Fall I, 2018",(organic),organic,google
9/28/2016,St. Louis Home Campus,9/29/2016,"Web, Create Account",Application Submitted,9/29/2016,Submitted,9/29/2016,,9/29/2016,,,,Graduate,art Entrepreneurship (Certificate),"Fall II, 2016",(direct),(none),(direct)
9/28/2016,St. Louis Home Campus,9/29/2016,"Web, Create Account",Application Submitted,9/29/2016,Started,9/29/2016,,9/29/2016,,,,Graduate,art Entrepreneurship (Certificate),"Fall II, 2016",(direct),(none),(direct)
11/28/2016,St. Louis Home Campus,11/28/2016,"Web, Inquiry",Inquiry,11/28/2016,,,,,,,,Graduate,art Entrepreneurship (Certificate),"Fall I, 2017",(organic),organic,google
6/4/2016,St. Louis Home Campus,6/4/2016,Online Application,Application Started,6/4/2016,Started,6/4/2016,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2016",(direct),(none),(direct)
6/21/2016,St. Louis Home Campus,6/21/2016,Online Application,Enrolled,6/21/2016,Exported to ERP,6/21/2016,6/22/2016,6/21/2016,,,6/30/2016,Graduate,Business analytics (Certificate),"Fall I, 2016",(organic),organic,google
7/1/2016,St. Louis Home Campus,7/1/2016,Online Application,Admit,7/1/2016,Exported to ERP,7/1/2016,7/5/2016,7/1/2016,,7/5/2016,,Graduate,Business analytics (Certificate),"Fall II, 2017",(referral),referral,webster.edu
8/22/2016,St. Louis Home Campus,8/22/2016,Online Application,Enrolled,8/22/2016,Exported to ERP,8/22/2016,8/23/2016,8/23/2016,,8/23/2016,8/30/2016,Graduate,Business analytics (Certificate),"Fall II, 2016",(organic),organic,google
12/15/2016,St. Louis Home Campus,12/15/2016,Online Application,Enrolled,12/15/2016,Exported to ERP,12/15/2016,12/15/2016,12/15/2016,,12/15/2016,12/21/2016,Graduate,Business analytics (Certificate),"Spring I, 2017",(organic),organic,yahoo
1/16/2017,St. Louis Home Campus,1/16/2017,Online Application,Application Started,1/16/2017,Started,1/16/2017,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2017",(organic),organic,google
1/30/2017,St. Louis Home Campus,1/30/2017,"Web, Create Account",Application Started,1/30/2017,Started,1/31/2017,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2017",(direct),(none),(direct)
2/2/2017,St. Louis Home Campus,2/2/2017,Online Application,Application Submitted,2/2/2017,Submitted,2/2/2017,,2/2/2017,,,,Graduate,Business analytics (Certificate),"Fall I, 2017",(organic),organic,google
6/22/2016,St. Louis Home Campus,6/22/2016,"Web, Inquiry",Inquiry,6/22/2016,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2016",(organic),organic,google
7/8/2016,St. Louis Home Campus,7/8/2016,Online Event Registration,Inquiry,7/8/2016,,,,,,,,Graduate,Business analytics (Certificate),"Fall II, 2016",,,
11/2/2016,St. Louis Home Campus,11/2/2016,"Web, Inquiry",Inquiry,11/2/2016,,,,,,,,Graduate,Business analytics (Certificate),"Spring II, 2017",(referral),referral,webster.edu
11/16/2016,St. Louis Home Campus,11/16/2016,"Web, Inquiry",Inquiry,11/16/2016,,,,,,,,Graduate,Business analytics (Certificate),"Spring I, 2017",(organic),organic,google
1/3/2017,St. Louis Home Campus,1/3/2017,"Web, Inquiry",Inquiry,1/3/2017,,,,,,,,Graduate,Business analytics (Certificate),"Spring II, 2017",(referral),referral,webster.edu
1/3/2017,St. Louis Home Campus,1/3/2017,"Web, Inquiry",Inquiry,1/3/2017,,,,,,,,Graduate,Business analytics (Certificate),"Spring I, 2017",(referral),referral,webster.edu
1/30/2017,St. Louis Home Campus,1/30/2017,"Web, Inquiry",Inquiry,1/30/2017,,,,,,,,Graduate,Business analytics (Certificate),"Summer, 2017",,,
2/8/2017,St. Louis Home Campus,2/8/2017,"Web, Inquiry",Inquiry,2/8/2017,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2017",(referral),referral,webster.edu
2/9/2017,Gateway - Downtown St. Louis,2/9/2017,Online Event Registration,Inquiry,2/9/2017,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2017",(direct),(none),(direct)
6/21/2016,WingHaven,,,Prospect,6/21/2016,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2016",,,
2/9/2017,WingHaven,,,Prospect,2/9/2017,,,,,,,,Graduate,Business analytics (Certificate),"Summer, 2017",,,
6/22/2016,WingHaven,,,Prospect,6/22/2016,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2016",,,
6/22/2016,WingHaven,,,Prospect,6/22/2016,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2016",,,
11/16/2016,WingHaven,,,Prospect,11/16/2016,,,,,,,,Graduate,Business analytics (Certificate),"Fall I, 2018",,,
6/2/2016,Fort Leonard Wood,6/2/2016,Online Application,Enrolled,6/2/2016,Exported to ERP,6/2/2016,6/2/2016,6/2/2016,,6/2/2016,6/6/2016,Graduate,Business and Organizational Security Management,"Summer, 2016",(direct),(none),(direct)
6/6/2016,Fort Leonard Wood,6/6/2016,Online Application,Application Submitted,6/6/2016,Submitted,6/6/2016,,6/6/2016,,,,Graduate,Business and Organizational Security Management,"Summer, 2016",(organic),organic,bing
6/8/2016,Fort Belvoir,6/8/2016,Online Application,Enrolled,6/8/2016,Exported to ERP,6/8/2016,6/8/2016,6/8/2016,,6/8/2016,6/10/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,google
6/9/2016,Online,6/9/2016,Internal Application,Application Submitted,6/9/2016,Submitted,6/9/2016,,6/9/2016,,,,Graduate,Business and Organizational Security Management,"Fall I, 2016",,,
6/11/2016,Online,6/11/2016,Online Application,Application Started,6/11/2016,Started,6/11/2016,,,,,,Graduate,Business and Organizational Security Management,"Summer, 2016",(not%20set),(not%20set),
6/4/2016,Fort Belvoir,6/4/2016,"Web, Create Account",Enrolled,6/4/2016,Exported to ERP,6/16/2016,6/16/2016,6/16/2016,,6/16/2016,6/22/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,google
6/21/2016,Fort Leonard Wood,6/21/2016,Online Application,Enrolled,6/21/2016,Exported to ERP,6/21/2016,6/21/2016,6/21/2016,,6/21/2016,7/19/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,bing
6/21/2016,Fort Leonard Wood,6/21/2016,"Web, Create Account",Admit,6/21/2016,Exported to ERP,6/21/2016,6/28/2016,6/21/2016,,6/28/2016,,Graduate,Business and Organizational Security Management,"Fall I, 2016",(referral),referral,webster.edu
6/22/2016,Online,6/22/2016,Online Application,Application Started,6/22/2016,Started,6/22/2016,,,,,,Graduate,Business and Organizational Security Management,"Fall I, 2016",(direct),(none),(direct)
6/22/2016,Fort Belvoir,6/22/2016,Online Application,Enrolled,6/22/2016,Exported to ERP,6/22/2016,6/23/2016,6/22/2016,,6/23/2016,7/6/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(direct),(none),(direct)
6/23/2016,Fort Leonard Wood,6/23/2016,Online Application,Enrolled,6/23/2016,Exported to ERP,6/23/2016,6/24/2016,6/23/2016,,6/24/2016,6/30/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(direct),(none),(direct)
6/23/2016,Joint Base Anacostia-Bolling/Bolling AFB,5/18/2016,Online Application,Enrolled,5/18/2016,Exported to ERP,6/23/2016,6/28/2016,6/24/2016,,6/28/2016,7/21/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,bing
6/24/2016,Online,6/24/2016,Online Application,Application Started,6/24/2016,Started,6/24/2016,,,,,,Graduate,Business and Organizational Security Management,"Spring I, 2017",(direct),(none),(direct)
6/24/2016,Online,6/24/2016,Online Application,Enrolled,6/24/2016,Exported to ERP,6/24/2016,6/27/2016,6/24/2016,,6/27/2016,7/20/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",,,
6/26/2016,Fort Leonard Wood,6/26/2016,Online Application,Enrolled,6/26/2016,Exported to ERP,6/26/2016,7/7/2016,6/27/2016,,7/7/2016,7/12/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(direct),(none),(direct)
6/27/2016,Online,6/27/2016,Online Application,Enrolled,6/27/2016,Exported to ERP,6/27/2016,6/27/2016,6/27/2016,,6/27/2016,7/6/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,google
6/27/2016,Online,6/27/2016,Online Application,Enrolled,6/27/2016,Exported to ERP,6/27/2016,6/28/2016,6/27/2016,,6/28/2016,7/5/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,bing
6/27/2016,Online,6/27/2016,Online Application,Enrolled,6/27/2016,Exported to ERP,6/27/2016,6/29/2016,6/28/2016,,6/30/2016,7/28/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(direct),(none),(direct)
6/27/2016,Fort Leavenworth,6/27/2016,Online Application,Enrolled,6/27/2016,Exported to ERP,6/27/2016,7/7/2016,6/27/2016,,7/7/2016,6/6/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",,,
6/28/2016,Fort Bragg,6/28/2016,Online Application,Enrolled,6/28/2016,Exported to ERP,6/28/2016,6/29/2016,6/28/2016,,6/29/2016,8/30/2016,Graduate,Business and Organizational Security Management,"Fall II, 2016",(organic),organic,bing
6/29/2016,Online,6/29/2016,Online Application,Application Started,6/29/2016,Started,6/29/2016,,,,,,Graduate,Business and Organizational Security Management,"Spring II, 2017",,,
7/2/2016,Fort Belvoir,7/2/2016,Online Application,Application Moved to ERP,7/2/2016,Exported to ERP,7/2/2016,7/5/2016,7/2/2016,7/6/2016,,,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,bing
7/5/2016,Online,7/5/2016,"Web, Create Account",Application Started,7/5/2016,Started,7/5/2016,,,,,,Graduate,Business and Organizational Security Management,"Fall II, 2016",(direct),(none),(direct)
7/6/2016,Joint Base Anacostia-Bolling/Bolling AFB,7/6/2016,Online Application,Application Started,7/6/2016,Started,7/6/2016,,,,,,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,google
7/7/2016,Fort Leavenworth,7/7/2016,Online Application,Enrolled,7/7/2016,Exported to ERP,7/7/2016,7/8/2016,7/7/2016,,7/8/2016,7/13/2016,Graduate,Business and Organizational Security Management,"Summer, 2016",(direct),(none),(direct)
7/7/2016,Fort Leavenworth,7/7/2016,Online Application,Enrolled,7/7/2016,Exported to ERP,7/7/2016,7/21/2016,7/10/2016,,,7/25/2016,Graduate,Business and Organizational Security Management,"Summer, 2016",(organic),organic,google
7/11/2016,Fort Leonard Wood,7/11/2016,Online Application,Enrolled,7/11/2016,Exported to ERP,7/11/2016,7/12/2016,7/11/2016,,7/12/2016,7/14/2016,Graduate,Business and Organizational Security Management,"Fall I, 2016",(organic),organic,google
